Hospital Name,Hospital Type,Speciality,Sub Speciality,Doctor Name,Doctor Speciality,Full Address,Area,City,Country,Pincode/Postcode,Phone Number,Website,Google Rating,Total Reviews,Opening Time,Closing Time,Full Timing,Google Maps URL,Latitude,Longitude,Search Pincode/Postcode,Search Query,Scraped Date/Time
Arham Eye Hospital - Dr Dharmesh Shah Cornea Care Specialist,Hospital,,,,,Arham Eye Hospital Besides Maruti Driving School Panchavati Society Main Road near Laxminagar chowk,Arham Eye Hospital Besides Maruti Driving School Panchavati Society Main Road near Laxminagar chowk,Rajkot,India,360024,9426786165,http://arhameyecare.com/,4.8,4,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/Arham+Eye+Hospital+-+Dr+Dharmesh+Shah+%7C+Cornea+Care+Specialist/@22.2887823,70.7599941,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959ca6b2f44a86d:0x2dec50e714c66ec!8m2!3d22.2827968!4d70.7877764!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPb3BodGhhbG1vbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4T1RGb3dValpoTURReFQwZHNhV0ZWZEdsWU1scDNUVlpPYUdWclJSQULgAQD6AQQIABAu!16s%2Fg%2F11bx55vwkf?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2887823,70.7599941,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:49:46
KANSAGRA EYE & ENT & LASER HOSPITAL,Hospital,,,,,Astron Chowk,Astron Chowk,Rajkot,India,360024,9624604676,https://kansagrahospital.in/,4.9,4,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/KANSAGRA+EYE+%26+ENT+%26+LASER+HOSPITAL/@22.2911181,70.7497824,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959ca229f14000d:0xa42b8064f655fb85!8m2!3d22.2911181!4d70.7878912!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0MFJtVlRNWEZVYTNCTFltcFdObEpWTVc5VlZtOTZaR3RhYkZSSVl4QULgAQD6AQQIABA5!16s%2Fg%2F11bzrpqpnt?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2911181,70.7497824,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:49:51
Dr. Ram's Eye Care Hospital Rajkot - Dr. Gunja Ram Cataract Specialist/ Lasik Specialist in Rajkot,Hospital,,,,,West Gate Gate A 3rd Floor 150 Feet Ring Rd,West Gate Gate A 3rd Floor 150 Feet Ring Rd,Rajkot,India,360024,9727988477,https://mindcarerajkot.com/dr-gunja-ram.php,4.8,4,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/Dr.+Ram's+Eye+Care+Hospital+Rajkot+-+Dr.+Gunja+Ram+Cataract+Specialist%2F+Lasik+Specialist+in+Rajkot/@22.321042,70.7288776,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959c9370d625293:0x2f6aad194ab146fa!8m2!3d22.2995743!4d70.7690335!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVy4AEA!16s%2Fg%2F11scjsm1cd?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.321042,70.7288776,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:05
Dhruva Eye Hospital a unit of Dr Agarwals Eye Hospital,Hospital,,,,,Dhruva House Rashtriya Shala Road Dr Dr Yagnik Rd opposite Abtak Press,Dhruva House Rashtriya Shala Road Dr Dr Yagnik Rd opposite Abtak Press,Rajkot,India,360024,9594924548,https://www.dragarwal.com/eye-hospital/rajkot/?utm_source=locator&utm_medium=googleplaces,4.8,4,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/Dhruva+Eye+Hospital,+a+unit+of+Dr+Agarwals+Eye+Hospital/@22.2910134,70.7599864,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959ca1076941639:0x1d0823dbb8fa978d!8m2!3d22.2910134!4d70.7980952!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEIaG9zcGl0YWzgAQA!16s%2Fg%2F11b7216rnt?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2910134,70.7599864,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:14
Ranchhodh Dasji Bapu Charitable Eye Hospital,Hospital,,,,,8R59+972 Kuvadava Road near Shree Sadguru Sadan Trust,Kuvadava Road near Shree Sadguru Sadan Trust,Rajkot,India,360024,,,4.4,4,,12 AM,Open · Closes 12 AM,"https://www.google.com/maps/place/Ranchhodh+Dasji+Bapu+Charitable+Eye+Hospital/@22.3083875,70.7800316,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959b104eaaaaaab:0xb6f9b5e2abe4aac0!8m2!3d22.3083875!4d70.8181404!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJRZVhNM1ZGTlJFQUXgAQD6AQQIABAa!16s%2Fg%2F1tl7m31f?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.3083875,70.7800316,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:22
A.R.K. Eye and Laser Centre,Hospital,,,,,Rathod hospital Street 1 West near Astron Chowk,Street 1 West near Astron Chowk,Rajkot,India,360024,8080122020,https://arkeyehospital.in/,4.9,4,,7:30 PM,Open · Closes 7:30 PM,"https://www.google.com/maps/place/A.R.K.+Eye+and+Laser+Centre/@22.2907594,70.7500627,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959cba6b360fa4b:0x75a4abb78760954d!8m2!3d22.2907594!4d70.7881715!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJSZGpZdFMzRlJSUkFC4AEA-gEECH0QRg!16s%2Fg%2F11wvkfkbn7?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:26
Sahaj Eye Care Center,Hospital,,,,,3rd Floor The Accord Business Park 311 Nana Mava Main Rd opp. Park Avenue,3rd Floor The Accord Business Park 311 Nana Mava Main Rd opp. Park Avenue,Rajkot,India,360024,06355 942 317,,4.7,4,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/Sahaj+Eye+Care+Center/@22.2907594,70.7500627,14z/data=!3m1!5s0x3959ca38491d9b89:0xcbb69b6b88d0ea8e!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959cbab76e91d51:0xdc29f3db0fdc9594!8m2!3d22.2741066!4d70.7752751!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEUb3BodGhhbG1vbG9neV9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlNjM1oxY25wUlJSQULgAQD6AQQIABAr!16s%2Fg%2F11fb0jzld6?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:28
Vivekanand Eye Care Center,Hospital,,,,,Dr Yagnik Rd near Jasani College,Dr Yagnik Rd near Jasani College,Rajkot,India,360024,0281 248 1777,,4.3,4,,12:30 PM,Open · Closes 12:30 PM,"https://www.google.com/maps/place/Vivekanand+Eye+Care+Center/@22.2907594,70.7500627,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959ca10954f0653:0xf5404902c10d5111!8m2!3d22.2894504!4d70.7957228!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVy4AEA!16s%2Fg%2F11b707j2r8?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:31
i Care Eye Hospital,Hospital,,,,,Aum Planet school Opp Nirmala convent Nirmala Convent Rd,Aum Planet school Opp Nirmala convent Nirmala Convent Rd,Rajkot,India,360024,9558826200,https://www.icareeyehospital.com/,4.2,152,,1:30 PM,Open · Closes 1:30 PM,"https://www.google.com/maps/place/i+Care+Eye+Hospital/@22.2907594,70.7500627,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x13ff46f8258113f5:0xb1f639e49fee8d7b!8m2!3d22.2973749!4d70.7759685!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHOSAQ9leWVfY2FyZV9jZW50ZXLgAQA!16s%2Fg%2F11b7c67nlf?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:37
Shivanand eye hospital,Hospital,,,,,7QCV+VGG,,Rajkot,India,360024,,,4.5,152,,7 PM,Open · Closes 7 PM,"https://www.google.com/maps/place/Shivanand+eye+hospital/@22.2907594,70.7500627,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959cb00644bc143:0xb8436062ef3f1b40!8m2!3d22.2721921!4d70.7937357!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHOSAQhob3NwaXRhbOABAA!16s%2Fg%2F11vq25sgdt?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:40
Mehta Eye Surgery and Laser Centre ( Dr Janak Mehta and Dr Pragn Mehta),Hospital,,,,,Street Number 3 behind Swaminarayan temple off Kalavad Road,Street Number 3 behind Swaminarayan temple off Kalavad Road,Rajkot,India,360024,6352544308,https://www.mehtaeyesurgery.com/,4.9,152,,1 PM,Open · Closes 1 PM,"https://www.google.com/maps/place/Mehta+Eye+Surgery+and+Laser+Centre+(+Dr+Janak+Mehta+and+Dr+Pragn+Mehta)/@22.2907594,70.7500627,14z/data=!4m10!1m2!2m1!1sEye+clinics+in+360024+Rajkot+eye+hospitals!3m6!1s0x3959cbbad8b0478f:0x9c229a9efe2f29d1!8m2!3d22.294163!4d70.7820962!15sCipFeWUgY2xpbmljcyBpbiAzNjAwMjQgUmFqa290IGV5ZSBob3NwaXRhbHNaLCIqZXllIGNsaW5pY3MgaW4gMzYwMDI0IHJhamtvdCBleWUgaG9zcGl0YWxzkgEPZXllX2NhcmVfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU14Y3psbFREZFJSUkFC4AEA-gEECAAQSQ!16s%2Fg%2F11q7y3kr1n?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.2907594,70.7500627,360024,Eye clinics in 360024 Rajkot eye hospitals,2026-08-24 11:50:41
